Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
D-57873-fdd1c0e2-2baa-48f5-8986-12dc389212bd,BR-P1-6-994700,QRS1TXH7PKLPLUU2Y5OHZPZDVS1WTEX0NGK,2022-11-15 20:54:27,2022-11-15 20:54:48,42.35,1.65,240.0,9.36,0.0,0.0,BRL,5.6455,BR,fa628d20-a30e-11eb-af36-630055b784f4,1-6-,PQ,PIX QR,CASH,PAID,2022-11-15 20:54:27,0,0,0,BR,P1,6.0,994700
T-57873-a737a1c0-eeac-4ede-8fa6-f46d21e23a67,BR-P1-6-204016,2032829917,2022-11-15 22:21:29,2022-11-15 22:21:29,42.35,1.36,240.0,7.68,0.0,0.0,BRL,5.6455,BR,661afe13-f4be-4ee6-9684-fbfd565bace5,1-6-,VI,Visa,CREDIT_CARD,PAID,2022-11-15 22:21:29,0,0,0,BR,P1,6.0,204016
D-57873-4c816e6b-01eb-4678-b4d5-292b2e2c121e,BR-P1-6-745718,QRS1TX5LL2PUPU1GEC67OQJTNTKPY9FSKK2,2022-11-16 04:19:14,2022-11-16 04:20:25,42.35,1.65,240.0,9.36,0.0,0.0,BRL,5.6455,BR,9e2b114b-a75f-47a1-b8b1-1b81a7bef1fc,1-6-,PQ,PIX QR,CASH,PAID,2022-11-16 04:19:14,0,0,0,BR,P1,6.0,745718
T-57873-ed60814c-0259-4b69-86af-05b7416f268d,BR-P1-6-102633,0,2022-11-16 14:59:56,0,42.29,1.35,240.0,7.68,0.0,0.0,BRL,5.6531,BR,4e28606c-6c87-48d4-b71c-e2a3e8ed2f75,1-6-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-16 14:59:56,0,0,0,BR,P1,6.0,102633
T-57873-bc146dd7-a75c-4edc-8f35-ccd44e2ab970,BR-P1-6-360828,0,2022-11-16 15:00:21,0,42.29,1.35,240.0,7.68,0.0,0.0,BRL,5.6531,BR,4e28606c-6c87-48d4-b71c-e2a3e8ed2f75,1-6-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-16 15:00:21,0,0,0,BR,P1,6.0,360828
T-57873-ae6224eb-1639-47b6-be99-f6abf6d2df1a,BR-P1-6-282991,2033921915,2022-11-16 15:01:18,2022-11-16 15:01:17,42.32,1.35,240.0,7.68,0.0,0.0,BRL,5.6496,BR,4e28606c-6c87-48d4-b71c-e2a3e8ed2f75,1-6-,MC,Mastercard,CREDIT_CARD,PAID,2022-11-16 15:01:18,0,0,0,BR,P1,6.0,282991
T-57873-fed154b5-c0ad-411d-b453-c85f243a98a2,BR-P1-6-576915,2034151754,2022-11-16 17:19:59,2022-11-16 17:19:58,42.14,1.35,240.0,7.68,0.0,0.0,BRL,5.6743,BR,a5f1ae13-e2d4-45fe-ae2c-ec9bef6fe84f,1-6-,VI,Visa,CREDIT_CARD,PAID,2022-11-16 17:19:59,0,0,0,BR,P1,6.0,576915
T-57873-22795d8c-f4c8-4ad9-885e-2b2ca2a9e153,BR-P1-6-761420,2035944359,2022-11-17 18:18:42,2022-11-17 18:18:41,41.4,1.32,240.0,7.68,0.0,0.0,BRL,5.7749,BR,7cfa6ed6-075f-4be7-b971-87100bae9a76,1-6-,VI,Visa,CREDIT_CARD,PAID,2022-11-17 18:18:42,0,0,0,BR,P1,6.0,761420
D-57873-69202e4a-ebbb-4998-b17e-d94391455377,BR-P1-6-306311,QRS1TXHA2LMNUM2OKLHUXU60OLOMOQ7SPSG,2022-11-18 20:58:23,2022-11-18 20:59:08,41.93,1.64,240.0,9.36,0.0,0.0,BRL,5.7024,BR,5c70a4b3-7d7e-44c9-b376-0315222c563e,1-6-,PQ,PIX QR,CASH,PAID,2022-11-18 20:58:23,0,0,0,BR,P1,6.0,306311
D-57873-2860e7aa-f7ab-4c52-b639-a9043c1fe3ce,BR-P1-6-414908,QRS1TX2OGVUIYHONI1QX5TF93PA9BMNDNNF,2022-11-21 04:05:31,0,41.95,1.64,240.0,9.36,0.0,0.0,BRL,5.6999,BR,47be2eeb-d6a1-4e34-8215-f6cdf3aa6c3e,1-6-,PQ,PIX QR,CASH,REJECTED,2022-11-21 04:05:31,0,0,0,BR,P1,6.0,414908
