Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-7e21c90e-4f96-4afe-97bf-2f8e359cafe3,CL-P2-1-229996,1944359355,2022-11-15 17:15:36,2022-11-15 17:15:36,30.42,1.25,28570.0,1171.37,0.0,0.0,CLP,939.0678,CL,b22fe9a8-813d-4d0b-b34a-067705272623,2-1-,MD,MasterCard Debit,DEBIT_CARD,PAID,2022-11-15 17:15:36,0,0,0,CL,P2,1.0,229996
T-57873-1a38a836-3e07-442b-b6d4-a6cc66540898,CL-P2-1-634026,1946326633,2022-11-16 03:42:15,2022-11-16 03:42:14,30.34,1.24,28570.0,1171.37,0.0,0.0,CLP,941.7051,CL,8bb6c440-5231-11ec-8c68-8729cca68566,2-1-,MD,MasterCard Debit,DEBIT_CARD,PAID,2022-11-16 03:42:15,0,0,0,CL,P2,1.0,634026
T-57873-5ff46e71-3722-4cda-8520-76afaf6fe42d,CL-P2-1-314197,048011,2022-11-16 21:28:37,2022-11-16 21:28:34,29.57,1.21,28570.0,1171.37,0.0,0.0,CLP,966.1974,CL,cc353a10-1c0b-11ec-a96a-71cbd61a693a,2-1-,CM,CMR,CREDIT_CARD,PAID,2022-11-16 21:28:37,0,0,0,CL,P2,1.0,314197
T-57873-f67ffe5d-3ba5-4aec-9972-3590766073c9,CL-P2-1-723429,1974026339,2022-11-24 15:12:14,2022-11-24 15:12:13,29.65,1.22,28570.0,1171.37,0.0,0.0,CLP,963.5411,CL,83e2b668-0413-49b1-b6db-7d2317930ae7,2-1-,VD,Visa Debit,DEBIT_CARD,PAID,2022-11-24 15:12:14,0,0,0,CL,P2,1.0,723429
T-57873-33cbc9c2-a41e-497a-a19e-b4d6fa765abe,CL-P2-1-758753,0,2022-12-18 06:30:45,0,30.35,1.24,28570.0,1171.37,0.0,0.0,CLP,941.2789,CL,8bb6c440-5231-11ec-8c68-8729cca68566,2-1-,no,MD,MasterCard Debit,DEBIT_CARD,2022-12-18 06:30:45,0,0,0,CL,P2,1.0,758753
T-57873-a0903a28-b4ad-4c39-b6f6-3b3ddebb52a7,CL-P2-1-748259,2080937531,2022-12-23 18:49:06,2022-12-23 18:49:06,30.66,1.26,28570.0,1171.37,0.0,0.0,CLP,931.7389,CL,8bb6c440-5231-11ec-8c68-8729cca68566,2-1-,no,VD,Visa Debit,DEBIT_CARD,2022-12-23 18:49:06,0,0,0,CL,P2,1.0,748259
T-57873-4dce0162-2fa0-4538-89ab-8bfe98de3603,CL-P2-1-599290,0,2022-12-25 06:30:43,0,30.66,1.26,28570.0,1171.37,0.0,0.0,CLP,931.7389,CL,83e2b668-0413-49b1-b6db-7d2317930ae7,2-1-,no,VD,Visa Debit,DEBIT_CARD,2022-12-25 06:30:43,0,0,0,CL,P2,1.0,599290
T-57873-643625d1-3b92-4a50-890f-a079b08811ce,CL-P2-1-818400,0,2022-12-27 06:30:42,0,30.63,1.26,28570.0,1171.37,0.0,0.0,CLP,932.7905,CL,83e2b668-0413-49b1-b6db-7d2317930ae7,2-1-,no,VD,Visa Debit,DEBIT_CARD,2022-12-27 06:30:42,0,0,0,CL,P2,1.0,818400
T-57873-63e216de-8da6-4f12-b188-7f176de0d6dd,CL-P2-1-839010,145087,2023-01-06 06:30:44,2023-01-06 06:30:42,31.6,1.3,28570.0,1171.37,0.0,0.0,CLP,904.1811,CL,c7add48c-758e-4a9a-9921-4a87226cdc07,2-1-,SI ESTABA,NO ESTABA,VI,Visa,2023-01-06 06:30:44,0,0,0,CL,P2,1.0,839010
T-57873-2a71f988-d215-4a0a-bb6c-e0fa88c353ef,CL-P2-1-146998,2148125987,2023-01-12 06:30:44,2023-01-12 06:30:43,32.71,1.34,28570.0,1171.37,0.0,0.0,CLP,873.4411,CL,800e663c-ef2a-4fb7-9732-1b3cc7b9d0c5,2-1-,SI ESTABA,NO ESTABA,MD,MasterCard Debit,2023-01-12 06:30:44,0,0,0,CL,P2,1.0,146998
T-57873-0cda5c86-bed4-4e4d-88b0-38999310be68,CL-P2-1-737276,000000,2023-01-12 06:30:46,0,32.71,1.34,28570.0,1171.37,0.0,0.0,CLP,873.4411,CL,c7912da0-3c01-11ec-9406-d3b3146bb71f,2-1-,SI ESTABA,NO ESTABA,MC,Mastercard,2023-01-12 06:30:46,0,0,0,CL,P2,1.0,737276
T-57873-00045c73-86a7-40f9-af38-900c97fac358,CL-P2-1-508730,2150917313,2023-01-13 01:44:23,2023-01-13 01:44:23,32.89,1.35,28570.0,1171.37,0.0,0.0,CLP,868.6711,CL,ef1cb006-557d-4921-9d1b-730c33835547,2-1-,NO ESTABA,NO ESTABA,MD,MasterCard Debit,2023-01-13 01:44:23,0,0,0,CL,P2,1.0,508730
T-57873-f25f479f-5585-4068-a1a4-73f2c44f62e7,CL-P2-1-513297,000000,2023-01-14 06:30:45,0,32.85,1.35,28570.0,1171.37,0.0,0.0,CLP,869.6781,CL,c7912da0-3c01-11ec-9406-d3b3146bb71f,2-1-,SI ESTABA,NO ESTABA,MC,Mastercard,2023-01-14 06:30:45,0,0,0,CL,P2,1.0,513297
T-57873-7d1b34c6-25b7-4700-85e0-eff479038f65,CL-P2-1-888589,2162231931,2023-01-16 06:30:46,2023-01-16 06:30:46,32.85,1.35,28570.0,1171.37,0.0,0.0,CLP,869.6781,CL,b22fe9a8-813d-4d0b-b34a-067705272623,2-1-,NO ESTABA,SI ESTABA,MD,MasterCard Debit,2023-01-16 06:30:46,0,0,0,CL,P2,1.0,888589
REF-57873-175f7030-a000-4c68-8565-f4a4666591c5,CL-P2-1-508730,0,2023-01-16 15:34:34,2023-01-16 15:35:01,32.89,1.0,28570.0,0.0,0.0,0.0,CLP,0.0,CL,0,2-1-,NO ESTABA,NO ESTABA,MD,MasterCard Debit,2023-01-16 15:34:34,0,0,0,CL,P2,1.0,508730
T-57873-8d858175-082d-4170-b6a2-742e81bcad66,CL-P2-1-152952,2165251819,2023-01-17 03:21:45,2023-01-17 03:21:45,32.75,1.34,28570.0,1171.37,0.0,0.0,CLP,872.3811,CL,ac7125e0-f60d-11eb-ba17-ebc78ae6aafe,2-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-17 03:21:45,0,0,0,CL,P2,1.0,152952
T-57873-4352853a-9e61-4e64-baa6-e63de3560334,CL-P2-1-340712,257806,2023-01-17 06:30:47,2023-01-17 06:30:41,32.75,1.34,28570.0,1171.37,0.0,0.0,CLP,872.3811,CL,cc353a10-1c0b-11ec-a96a-71cbd61a693a,2-1-,NO ESTABA,SI ESTABA,CM,CMR,2023-01-17 06:30:47,0,0,0,CL,P2,1.0,340712
T-57873-c9c31e04-2578-4444-a73b-1da046a319d9,CL-P2-1-907656,2170384711,2023-01-18 19:56:54,2023-01-18 19:56:53,32.71,1.34,28570.0,1171.37,0.0,0.0,CLP,873.3965,CL,1e20a1b6-715a-4e16-85dc-77234c1c8209,2-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-18 19:56:54,0,0,0,CL,P2,1.0,907656
T-57873-a1f8cb4d-846f-4fc2-a710-ea694f7863b6,CL-P2-1-411555,2177937801,2023-01-20 22:37:23,2023-01-20 22:37:22,33.05,1.35,28570.0,1171.37,0.0,0.0,CLP,864.5371,CL,bf80ba29-56f0-4f05-8d0c-b4f144d2d006,2-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-20 22:37:23,0,0,0,CL,P2,1.0,411555
T-57873-4957a1e3-929d-46de-b41c-2c14c425f6b5,CL-P2-1-705104,2178151329,2023-01-20 23:32:08,2023-01-20 23:32:07,33.05,1.35,28570.0,1171.37,0.0,0.0,CLP,864.5371,CL,af4d542c-3365-47d4-b99f-ec38ff928baa,2-1-,NO ESTABA,NO ESTABA,MH,Mach,2023-01-20 23:32:08,0,0,0,CL,P2,1.0,705104
T-57873-a30dc5e0-770e-4ea8-abad-720a41d8910f,CL-P2-1-732177,2189122041,2023-01-24 06:30:44,2023-01-24 06:30:43,33.07,1.36,28570.0,1171.37,0.0,0.0,CLP,863.7951,CL,8bb6c440-5231-11ec-8c68-8729cca68566,2-1-,NO ESTABA,SI ESTABA,VD,Visa Debit,2023-01-24 06:30:44,0,0,0,CL,P2,1.0,732177
T-57873-1f6ff652-28f7-4871-9629-8d7d610dc9af,CL-P2-1-436296,0,2023-02-01 20:33:12,0,33.99,1.39,28570.0,1171.37,0.0,0.0,CLP,840.4517,CL,a17b7ba1-fa54-40db-9d19-5b7a18f458eb,2-1-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,VD,2023-02-01 20:33:12,0,0,0,CL,P2,1.0,436296
T-57873-91cba61f-06bc-4340-950b-a26bf5b87ad8,CL-P2-1-535644,0,2023-02-01 20:35:09,0,33.99,1.39,28570.0,1171.37,0.0,0.0,CLP,840.4517,CL,a17b7ba1-fa54-40db-9d19-5b7a18f458eb,2-1-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,MD,2023-02-01 20:35:09,0,0,0,CL,P2,1.0,535644
T-57873-3a471362-bd37-4294-9d02-07dfac98dbda,CL-P2-1-793828,0,2023-02-01 20:35:44,0,33.99,1.39,28570.0,1171.37,0.0,0.0,CLP,840.4517,CL,a17b7ba1-fa54-40db-9d19-5b7a18f458eb,2-1-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,MD,2023-02-01 20:35:44,0,0,0,CL,P2,1.0,793828
T-57873-f0e5708e-1b0b-41db-83ad-c928af598f4a,CL-P2-1-692693,0,2023-02-01 20:36:09,0,33.99,1.39,28570.0,1171.37,0.0,0.0,CLP,840.4517,CL,a17b7ba1-fa54-40db-9d19-5b7a18f458eb,2-1-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,MD,2023-02-01 20:36:09,0,0,0,CL,P2,1.0,692693
T-57873-04d4ce02-b789-431c-8d5a-60c9ba5eea43,CL-P2-1-858844,252955,2023-02-04 00:58:59,2023-02-04 0:58:56,33.84,1.39,28570.0,1171.37,0.0,0.0,CLP,844.2911,CL,ac63b140-82e2-11ec-b526-bfa5f4f8d8f0,2-1-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,MC,2023-02-04 00:58:59,0,0,0,CL,P2,1.0,858844
T-57873-ce6ac9dc-bf21-44aa-b344-ef6edbff7e37,CL-P2-1-864937,0,2023-02-06 06:30:44,0,33.84,1.39,28570.0,1171.37,0.0,0.0,CLP,844.2889,CL,c7add48c-758e-4a9a-9921-4a87226cdc07,2-1-,NO ESTABA NOV,ESTABA DIC,ESTABA ENE,VI,2023-02-06 06:30:44,0,0,0,CL,P2,1.0,864937
T-57873-511038fc-8414-436d-9668-40b33749372f,CL-P2-1-367065,0,2023-02-08 06:30:45,0,33.84,1.39,28570.0,1171.37,0.0,0.0,CLP,844.3419,CL,c7add48c-758e-4a9a-9921-4a87226cdc07,2-1-,NO ESTABA NOV,ESTABA DIC,ESTABA ENE,VI,2023-02-08 06:30:45,0,0,0,CL,P2,1.0,367065
T-57873-59b05195-75d4-4792-b64f-2586a14cde5a,CL-P2-1-303248,0,2023-02-12 06:30:45,0,33.76,1.38,28570.0,1171.37,0.0,0.0,CLP,846.3581,CL,800e663c-ef2a-4fb7-9732-1b3cc7b9d0c5,2-1-,NO ESTABA NOV,ESTABA DIC,ESTABA ENE,MD,2023-02-12 06:30:45,0,0,0,CL,P2,1.0,303248
