Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-d19be1e5-5e18-4553-ab0f-516f15feaf62,MX-P1-1-475729,820044250429,2022-11-15 19:35:15,2022-11-15 19:35:15,9.66,0.31,198.57,6.3542,0.0,0.0,MXN,20.5492,MX,84fdb740-61ae-11eb-9a50-d10dfc215e29,1-1-,MD,MasterCard Debit,DEBIT_CARD,PAID,2022-11-15 19:35:15,0,0,0,MX,P1,1.0,475729
T-57873-7b57d0c1-31bc-461a-a9f4-80c3fab5b9ad,MX-P1-1-139669,920044257701,2022-11-15 22:03:56,2022-11-15 22:03:55,9.66,0.31,198.57,6.3542,0.0,0.0,MXN,20.5577,MX,a9d09e31-9fff-4068-b2ec-14ab57d05652,1-1-,VD,Visa Debit,DEBIT_CARD,PAID,2022-11-15 22:03:56,0,0,0,MX,P1,1.0,139669
T-57873-850a493d-1310-4451-be4a-320ea89b6337,MX-P1-1-713178,730043882003,2022-11-15 22:04:09,2022-11-15 22:04:08,9.66,0.31,198.57,6.3542,0.0,0.0,MXN,20.56,MX,a9d09e31-9fff-4068-b2ec-14ab57d05652,1-1-,VD,Visa Debit,DEBIT_CARD,PAID,2022-11-15 22:04:09,0,0,0,MX,P1,1.0,713178
T-57873-f3deb1a4-f252-457c-a122-f407220b4c84,MX-P1-1-528148,850043599868,2022-11-15 22:04:57,2022-11-15 22:04:57,9.66,0.31,198.57,6.3542,0.0,0.0,MXN,20.5557,MX,a9d09e31-9fff-4068-b2ec-14ab57d05652,1-1-,VD,Visa Debit,DEBIT_CARD,PAID,2022-11-15 22:04:57,0,0,0,MX,P1,1.0,528148
T-57873-2b7506c5-2bba-45c5-bd0e-63dd4f929061,MX-P1-1-291663,820044724064,2022-11-16 03:52:00,0,9.66,0.31,198.57,6.3542,0.0,0.0,MXN,20.5512,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 03:52:00,0,0,0,MX,P1,1.0,291663
T-57873-65cb0af3-41fa-45bd-b66a-ca66dbd3e289,MX-P1-1-412880,820044725271,2022-11-16 03:53:09,0,9.66,0.31,198.57,6.3542,0.0,0.0,MXN,20.5492,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 03:53:09,0,0,0,MX,P1,1.0,412880
T-57873-6e056001-c774-455d-8465-c399dd9728bb,MX-P1-1-492806,820044726396,2022-11-16 03:54:25,0,9.66,0.31,198.57,6.3542,0.0,0.0,MXN,20.5465,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 03:54:25,0,0,0,MX,P1,1.0,492806
T-57873-08b610c7-3b5e-47f6-9fad-37004b0a330b,MX-P1-1-222680,470002936711,2022-11-16 05:30:02,0,9.66,0.31,198.57,6.3542,0.0,0.0,MXN,20.5505,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 05:30:02,0,0,0,MX,P1,1.0,222680
T-57873-fca47a50-d179-44cb-be27-7b80eb2d9836,MX-P1-1-869880,470002966205,2022-11-16 06:26:51,0,9.67,0.31,198.57,6.3542,0.0,0.0,MXN,20.5327,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 06:26:51,0,0,0,MX,P1,1.0,869880
T-57873-45d1885a-b805-49b8-be75-bdea46fc015d,MX-P1-1-436940,410021700309,2022-11-16 06:27:29,0,9.67,0.31,198.57,6.3542,0.0,0.0,MXN,20.5318,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 06:27:29,0,0,0,MX,P1,1.0,436940
T-57873-d801d85b-4417-426e-b706-6acdb0947a72,MX-P1-1-422476,370002975648,2022-11-16 06:29:32,0,9.67,0.31,198.57,6.3542,0.0,0.0,MXN,20.5304,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 06:29:32,0,0,0,MX,P1,1.0,422476
T-57873-e7e710f6-c2ba-4cfe-bb73-1f0a689456d9,MX-P1-1-244518,410021720755,2022-11-16 06:55:29,0,9.67,0.31,198.57,6.3542,0.0,0.0,MXN,20.5277,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 06:55:29,0,0,0,MX,P1,1.0,244518
T-57873-c5ca8c5f-75b4-4205-b8b4-befd64b709f6,MX-P1-1-707524,470002976950,2022-11-16 06:55:41,0,9.67,0.31,198.57,6.3542,0.0,0.0,MXN,20.5277,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 06:55:41,0,0,0,MX,P1,1.0,707524
T-57873-14314f5d-00ab-4e05-a9de-2a098bff7b4b,MX-P1-1-499591,410021721677,2022-11-16 06:57:15,0,9.67,0.31,198.57,6.3542,0.0,0.0,MXN,20.5321,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 06:57:15,0,0,0,MX,P1,1.0,499591
T-57873-8025351a-944e-4f9d-bce0-928ccd77b120,MX-P1-1-987587,730044454923,2022-11-16 15:28:19,0,9.69,0.31,198.57,6.3542,0.0,0.0,MXN,20.4845,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 15:28:19,0,0,0,MX,P1,1.0,987587
T-57873-92b7ca8a-26e4-49d1-b9e1-0678c33dc9ff,MX-P1-1-330078,730044455402,2022-11-16 15:29:01,0,9.69,0.31,198.57,6.3542,0.0,0.0,MXN,20.483,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 15:29:01,0,0,0,MX,P1,1.0,330078
T-57873-b3fab277-6c09-4820-8cea-ca01832eeef9,MX-P1-1-519092,820045123323,2022-11-16 18:45:31,0,9.69,0.31,198.57,6.3542,0.0,0.0,MXN,20.4875,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 18:45:31,0,0,0,MX,P1,1.0,519092
T-57873-6cbd462a-8396-4e8b-b405-d7dbc609fcec,MX-P1-1-245225,820045123593,2022-11-16 18:45:42,0,9.69,0.31,198.57,6.3542,0.0,0.0,MXN,20.4875,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 18:45:42,0,0,0,MX,P1,1.0,245225
T-57873-d205c758-9f8c-4a2f-8e86-42bab38bb6b9,MX-P1-1-564706,920044990873,2022-11-16 18:45:49,0,9.69,0.31,198.57,6.3542,0.0,0.0,MXN,20.4875,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 18:45:49,0,0,0,MX,P1,1.0,564706
T-57873-20721eab-7486-46e7-8113-f85fb48828d2,MX-P1-1-190100,820045123900,2022-11-16 18:45:57,0,9.69,0.31,198.57,6.3542,0.0,0.0,MXN,20.4875,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 18:45:57,0,0,0,MX,P1,1.0,190100
T-57873-645608d9-6d93-4ee8-80b3-1e24d0e32559,MX-P1-1-116840,850044353223,2022-11-16 18:46:09,0,9.69,0.31,198.57,6.3542,0.0,0.0,MXN,20.4897,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 18:46:09,0,0,0,MX,P1,1.0,116840
T-57873-f73b3fa6-c034-4156-b592-259cd3831612,MX-P1-1-568689,820045124457,2022-11-16 18:46:24,0,9.69,0.31,198.57,6.3542,0.0,0.0,MXN,20.4897,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 18:46:24,0,0,0,MX,P1,1.0,568689
T-57873-24263618-8d8b-408d-97a6-6924d0a82d75,MX-P1-1-355676,820045154822,2022-11-16 19:18:20,0,9.69,0.31,198.57,6.3542,0.0,0.0,MXN,20.4821,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 19:18:20,0,0,0,MX,P1,1.0,355676
T-57873-d0e91f40-6185-48cf-ab25-6bdfc274e43d,MX-P1-1-108610,920045025179,2022-11-16 19:18:38,0,9.69,0.31,198.57,6.3542,0.0,0.0,MXN,20.4821,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 19:18:38,0,0,0,MX,P1,1.0,108610
T-57873-07b662de-1045-4141-b236-056f9bdb9c12,MX-P1-1-756523,820045210414,2022-11-16 20:19:12,0,9.7,0.31,198.57,6.3542,0.0,0.0,MXN,20.4751,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 20:19:12,0,0,0,MX,P1,1.0,756523
T-57873-12ea7c5f-6614-404b-86ce-b5d44c764c09,MX-P1-1-751775,820045212599,2022-11-16 20:21:31,0,9.7,0.31,198.57,6.3542,0.0,0.0,MXN,20.4757,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 20:21:31,0,0,0,MX,P1,1.0,751775
T-57873-b7f5c826-4f2b-4669-baf6-ab430617662a,MX-P1-1-798976,820045213942,2022-11-16 20:23:04,0,9.7,0.31,198.57,6.3542,0.0,0.0,MXN,20.4724,MX,c54c0ae0-03aa-11ec-94d6-8f9655da9073,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 20:23:04,0,0,0,MX,P1,1.0,798976
T-57873-e9af2e82-e82c-46e6-9d08-4fad21ec58e5,MX-P1-1-478289,850045334656,2022-11-17 17:41:21,2022-11-17 17:41:20,9.63,0.31,198.57,6.3542,0.0,0.0,MXN,20.6123,MX,73de1c6a-ef39-4a31-8074-cf6869cbe417,1-1-,MD,MasterCard Debit,DEBIT_CARD,PAID,2022-11-17 17:41:21,0,0,0,MX,P1,1.0,478289
T-57873-62616db2-2240-4d9d-a1f1-8d955e4a2d9d,MX-P1-1-533079,730045602470,2022-11-17 18:28:13,2022-11-17 18:28:13,9.64,0.31,198.57,6.3542,0.0,0.0,MXN,20.588,MX,d48a60d1-195e-4d4d-b2a9-85c660f42ac3,1-1-,MD,MasterCard Debit,DEBIT_CARD,PAID,2022-11-17 18:28:13,0,0,0,MX,P1,1.0,533079
T-57873-8057da3f-9c95-4cd0-b227-c77322307d76,MX-P1-1-746291,850046641118,2022-11-18 20:47:25,0,9.64,0.31,198.57,6.3542,0.0,0.0,MXN,20.5996,MX,7be09897-441d-474b-a74b-281fb02ba990,1-1-,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-18 20:47:25,0,0,0,MX,P1,1.0,746291
T-57873-73327537-8994-4b5e-ae52-752387db15b5,MX-P1-1-152907,920047226865,2022-11-18 20:50:56,0,9.64,0.31,198.57,6.3542,0.0,0.0,MXN,20.6024,MX,7be09897-441d-474b-a74b-281fb02ba990,1-1-,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-18 20:50:56,0,0,0,MX,P1,1.0,152907
T-57873-ed916a9b-1647-4151-8dc1-7c3ded1cc0fc,MX-P1-1-858339,730046802632,2022-11-18 20:51:32,2022-11-18 20:51:31,9.64,0.31,198.57,6.3542,0.0,0.0,MXN,20.6017,MX,7be09897-441d-474b-a74b-281fb02ba990,1-1-,VD,Visa Debit,DEBIT_CARD,PAID,2022-11-18 20:51:32,0,0,0,MX,P1,1.0,858339
T-57873-61b67a1e-3d40-4230-964b-c953fc9e5ee5,MX-P1-1-317789,850046863987,2022-11-18 23:36:26,2022-11-18 23:36:25,9.62,0.31,198.57,6.3542,0.0,0.0,MXN,20.6331,MX,8727cf20-4fad-11ec-ad2c-69f9cc1fa4ee,1-1-,VI,Visa,CREDIT_CARD,PAID,2022-11-18 23:36:26,0,0,0,MX,P1,1.0,317789
T-57873-c277e94c-120c-4c31-b02c-d27d0c2b43ed,MX-P1-1-457396,920047531109,2022-11-19 01:15:15,2022-11-19 01:15:15,9.62,0.31,198.57,6.3542,0.0,0.0,MXN,20.6331,MX,c8108960-884c-11ec-b07e-95b4c605c852,1-1-,VD,Visa Debit,DEBIT_CARD,PAID,2022-11-19 01:15:15,0,0,0,MX,P1,1.0,457396
