Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-f08fa0d1-4af5-490f-bf42-2a25f2c2de04,PA-P1-1-413000,0,2022-11-15 16:46:33,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,33879607-ec09-4b1f-b413-a44cab37287b,1-1-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 16:46:33,0,0,0,PA,P1,1.0,413000
T-57873-635bebf8-5247-4fda-8898-ce2470fa52d1,PA-P1-1-109533,0,2022-11-15 16:47:08,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,33879607-ec09-4b1f-b413-a44cab37287b,1-1-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 16:47:08,0,0,0,PA,P1,1.0,109533
T-57873-92fefa7b-f5e6-4dab-877a-214147c9ed57,PA-P1-1-726712,0,2022-11-15 16:47:53,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,33879607-ec09-4b1f-b413-a44cab37287b,1-1-,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-15 16:47:53,0,0,0,PA,P1,1.0,726712
T-57873-e8b412ba-6581-4449-a4bb-f9bc8f9a9f41,PA-P1-1-667752,0,2022-11-15 16:48:34,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,33879607-ec09-4b1f-b413-a44cab37287b,1-1-,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-15 16:48:34,0,0,0,PA,P1,1.0,667752
T-57873-c4694716-668a-4ac5-8a20-43ce2405496a,PA-P1-1-786471,0,2022-11-15 17:48:24,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,6b264f60-f29f-11ea-a207-ebf475435f1d,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 17:48:24,0,0,0,PA,P1,1.0,786471
T-57873-93e95759-68ca-4c23-b18b-8537f76de6e8,PA-P1-1-667780,0,2022-11-15 17:48:34,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,6b264f60-f29f-11ea-a207-ebf475435f1d,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 17:48:34,0,0,0,PA,P1,1.0,667780
T-57873-b5efc75a-3d4c-47ea-a9dd-e4565d9f3c4f,PA-P1-1-629796,0,2022-11-15 19:25:55,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 19:25:55,0,0,0,PA,P1,1.0,629796
T-57873-0cd1d625-9573-404a-bbf6-72bf318177fa,PA-P1-1-639331,0,2022-11-15 19:26:43,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 19:26:43,0,0,0,PA,P1,1.0,639331
T-57873-d1de9f04-2e32-4a5c-95bd-3e78536bf1a8,PA-P1-1-473194,DLPA0288000046135317,2022-11-15 19:53:18,2022-11-15 19:53:18,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,1-1-,MD,MasterCard Debit,DEBIT_CARD,PAID,2022-11-15 19:53:18,0,0,0,PA,P1,1.0,473194
REF-57873-ef00cb66-6aa4-48af-be20-14428596cfac,PA-P1-1-473194,0,2022-11-15 19:59:31,2022-11-15 20:05:13,10.0,1.0,10.0,0.0,0.0,0.0,USD,0.0,PA,0,1-1-,MD,MasterCard Debit,DEBIT_CARD,REFUNDED,2022-11-15 19:59:31,0,0,0,PA,P1,1.0,473194
