Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-5875b291-8d64-47fc-90c1-95b6b0111db3,PE-P1-12-893532,DLPA0288000127164218,2022-11-16 22:42:21,2022-11-16 22:42:20,85.56,4.73,348.0,19.2575,0.0,0.0,PEN,4.0674,PE,7fc7d2e6-a554-4b73-bfea-c67ba32bf0aa,1-12,VI,Visa,CREDIT_CARD,PAID,2022-11-16 22:42:21,0,0,0,PE,P1,12.0,893532
T-57873-167a199d-d241-405d-8c0d-e8c8a3f35372,PE-P1-12-237191,0,2022-11-17 18:13:48,0,85.76,4.75,348.0,19.2556,0.0,0.0,PEN,4.0579,PE,345d7a20-ae98-11eb-84fe-55e5a1e28f39,1-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-17 18:13:48,0,0,0,PE,P1,12.0,237191
T-57873-1087962a-ac56-49d6-87c7-735f827cd991,PE-P1-12-281476,0,2022-11-17 18:15:31,0,85.72,4.74,348.0,19.2559,0.0,0.0,PEN,4.0597,PE,345d7a20-ae98-11eb-84fe-55e5a1e28f39,1-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-17 18:15:31,0,0,0,PE,P1,12.0,281476
T-57873-16e77e9b-1021-44f7-903d-7684fa856c55,PE-P1-12-612707,DLPA0288000174075827,2022-11-19 13:58:28,2022-11-19 13:58:28,85.71,4.74,348.0,19.256,0.0,0.0,PEN,4.06,PE,42a44280-d5e2-11ea-af08-0b253c5a6090,1-12,VD,Visa Debit,DEBIT_CARD,PAID,2022-11-19 13:58:28,0,0,0,PE,P1,12.0,612707
T-57873-2a39fa6f-545c-49a4-b86f-b7f06c2fa366,PE-P1-12-511277,DLPA0288000200121533,2022-11-21 18:15:36,0,85.47,4.73,348.0,19.2584,0.0,0.0,PEN,4.0718,PE,0ff2453e-f3f6-4f8a-bb50-3660f0dbdbed,1-12,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-21 18:15:36,0,0,0,PE,P1,12.0,511277
T-57873-3f6c9dd3-70cc-44a1-89af-0ae3067804e9,PE-P1-12-932313,DLPA0288000201121716,2022-11-21 18:17:18,0,85.45,4.73,348.0,19.2585,0.0,0.0,PEN,4.0727,PE,0ff2453e-f3f6-4f8a-bb50-3660f0dbdbed,1-12,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-21 18:17:18,0,0,0,PE,P1,12.0,932313
T-57873-d7cc9a1e-fae6-4947-a6aa-f50cef2c863a,PE-P1-12-235394,DLPA0288000568001133,2023-01-19 06:11:36,0,85.43,4.73,348.0,19.2587,0.0,0.0,PEN,4.0737,PE,d412650c-f262-4e91-91b6-7eb76d444745,1-12,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-19 06:11:36,0,0,0,PE,P1,12.0,235394
T-57873-48f34ddd-73de-4d92-9026-c09a35109cc9,PE-P1-12-200529,DLPA0288000569001201,2023-01-19 06:12:04,0,85.43,4.73,348.0,19.2587,0.0,0.0,PEN,4.0737,PE,d412650c-f262-4e91-91b6-7eb76d444745,1-12,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-19 06:12:04,0,0,0,PE,P1,12.0,200529
T-57873-bca41e8b-3bae-4d5a-9c54-1d2b1a8cb02e,PE-P1-12-541006,DLPA0288000570001314,2023-01-19 06:13:17,0,85.43,4.73,348.0,19.2587,0.0,0.0,PEN,4.0737,PE,d412650c-f262-4e91-91b6-7eb76d444745,1-12,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-19 06:13:17,0,0,0,PE,P1,12.0,541006
T-57873-2064b45d-7262-4f6d-8a6e-5a2b46e1cce2,PE-P1-12-276885,DLPA0288000571001401,2023-01-19 06:14:04,0,85.43,4.73,348.0,19.2587,0.0,0.0,PEN,4.0737,PE,d412650c-f262-4e91-91b6-7eb76d444745,1-12,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-19 06:14:04,0,0,0,PE,P1,12.0,276885
T-57873-e7f9fbf1-16b2-4394-9579-344a6d42075a,PE-P1-12-836093,0,2023-01-19 06:21:05,0,85.43,4.73,348.0,19.2587,0.0,0.0,PEN,4.0737,PE,d412650c-f262-4e91-91b6-7eb76d444745,1-12,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-19 06:21:05,0,0,0,PE,P1,12.0,836093
T-57873-edb011cd-12c9-4dcb-b58b-bf52150836c0,PE-P1-12-146093,0,2023-01-19 18:36:48,0,85.0,4.71,348.0,19.2628,0.0,0.0,PEN,4.094,PE,d412650c-f262-4e91-91b6-7eb76d444745,1-12,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-19 18:36:48,0,0,0,PE,P1,12.0,146093
T-57873-d12e5ce7-8b76-4d3e-a4bb-a306a915d0ae,PE-P1-12-118373,0,2023-01-19 18:46:52,0,85.0,4.71,348.0,19.2628,0.0,0.0,PEN,4.094,PE,d412650c-f262-4e91-91b6-7eb76d444745,1-12,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-19 18:46:52,0,0,0,PE,P1,12.0,118373
T-57873-fc8351e3-90dd-4423-b8d1-d57800ae2f1c,PE-P1-12-118584,0,2023-01-20 03:49:27,0,85.0,4.71,348.0,19.2628,0.0,0.0,PEN,4.094,PE,d412650c-f262-4e91-91b6-7eb76d444745,1-12,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-20 03:49:27,0,0,0,PE,P1,12.0,118584
T-57873-7aa6cc5e-503e-415e-9fb3-7439ff0cc2c3,PE-P1-12-808451,0,2023-01-20 03:49:54,0,85.0,4.71,348.0,19.2628,0.0,0.0,PEN,4.094,PE,d412650c-f262-4e91-91b6-7eb76d444745,1-12,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-20 03:49:54,0,0,0,PE,P1,12.0,808451
T-57873-c363418f-91ea-4b13-9230-62dfa04bd3a7,PE-P1-12-781757,DLPA0288000581215610,2023-01-20 03:56:11,2023-01-20 03:56:11,85.0,4.71,348.0,19.2628,0.0,0.0,PEN,4.094,PE,d412650c-f262-4e91-91b6-7eb76d444745,1-12,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-20 03:56:11,0,0,0,PE,P1,12.0,781757
T-57873-215d2cdd-97d2-4a93-b651-d5fd6108d588,PE-P1-12-895645,DLPA0288000722154332,2023-02-13 21:43:34,2023-02-13 21:43:33,85.05,4.71,348.0,19.2623,0.0,0.0,PEN,4.0917,PE,d8baf8d0-eae1-11ea-bc2c-8f1932d27bda,1-12,NO ESTABA NOV,ESTABA DIC,ESTABA ENE,AE,2023-02-13 21:43:34,0,0,0,PE,P1,12.0,895645
T-57873-bca7c47d-cbc7-41a4-9ae9-785664a3df95,PE-P1-12-141296,DLPA0288000729061712,2023-02-15 12:17:15,0,84.94,4.7,348.0,19.2634,0.0,0.0,PEN,4.0972,PE,b62c18bd-1292-4ee7-a76d-764b6d7c32e9,1-12,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,VD,2023-02-15 12:17:15,0,0,0,PE,P1,12.0,141296
T-57873-ae2b9db7-f4fb-4c76-a924-874c66539471,PE-P1-12-381494,DLPA0288000730061815,2023-02-15 12:18:17,2023-02-15 12:18:16,84.94,4.7,348.0,19.2634,0.0,0.0,PEN,4.0972,PE,b62c18bd-1292-4ee7-a76d-764b6d7c32e9,1-12,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,VD,2023-02-15 12:18:17,0,0,0,PE,P1,12.0,381494
T-57873-a6dd4d1a-6878-4a9b-b0f4-1dc246f2d2f3,PE-P1-12-776864,DLPA0288000740160821,2023-02-16 22:08:22,0,85.19,4.72,348.0,19.261,0.0,0.0,PEN,4.085,PE,8063a74f-9660-4561-9507-27cec8261062,1-12,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,VD,2023-02-16 22:08:22,0,0,0,PE,P1,12.0,776864
T-57873-2b08c7e0-6d58-488d-8a49-f04c88762bf8,PE-P1-12-449599,DLPA0288000766205734,2023-02-22 02:57:35,0,85.67,4.74,348.0,19.2564,0.0,0.0,PEN,4.0619,PE,71db06b0-6c40-11ec-84dc-358de9e65ac5,1-12,ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,VD,2023-02-22 02:57:35,0,0,0,PE,P1,12.0,449599
T-57873-abf41cc5-fc6e-4adc-a3e8-6929cfe86a2d,PE-P1-12-782731,DLPA0288000767205828,2023-02-22 02:58:30,0,85.67,4.74,348.0,19.2564,0.0,0.0,PEN,4.0619,PE,71db06b0-6c40-11ec-84dc-358de9e65ac5,1-12,ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,VD,2023-02-22 02:58:30,0,0,0,PE,P1,12.0,782731
T-57873-2ee51cdc-723f-4f91-839d-a5c4b01e748b,PE-P1-12-348956,DLPA0288000768205846,2023-02-22 02:58:47,0,85.67,4.74,348.0,19.2564,0.0,0.0,PEN,4.0619,PE,71db06b0-6c40-11ec-84dc-358de9e65ac5,1-12,ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,VD,2023-02-22 02:58:47,0,0,0,PE,P1,12.0,348956
