Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-1eeb50d8-66b5-496a-8dda-7c8901e2c0f1,PE-P2-12-110190,DLPA0288000014122102,2022-11-15 18:21:03,0,233.5,12.58,948.0,51.056,0.0,0.0,PEN,4.06,PE,b31b4859-a9ec-4549-9bdb-7a7e831cce3b,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 18:21:03,0,0,0,PE,P2,12.0,110190
T-57873-9e43c3a1-b0c5-40e4-badb-1e8d2b1423ec,PE-P2-12-273426,DLPA0288000015122143,2022-11-15 18:21:43,0,233.5,12.58,948.0,51.056,0.0,0.0,PEN,4.06,PE,b31b4859-a9ec-4549-9bdb-7a7e831cce3b,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 18:21:43,0,0,0,PE,P2,12.0,273426
T-57873-57043e38-1ab2-4de5-9a1c-f05166d60543,PE-P2-12-933678,DLPA0288000048141800,2022-11-15 20:18:01,0,233.5,12.58,948.0,51.056,0.0,0.0,PEN,4.06,PE,b31b4859-a9ec-4549-9bdb-7a7e831cce3b,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 20:18:01,0,0,0,PE,P2,12.0,933678
T-57873-8fe007c7-9b6d-4a7a-b072-47e812da2284,PE-P2-12-760746,DLPA0288000050143218,2022-11-15 20:32:19,0,233.5,12.58,948.0,51.056,0.0,0.0,PEN,4.06,PE,b31b4859-a9ec-4549-9bdb-7a7e831cce3b,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 20:32:19,0,0,0,PE,P2,12.0,760746
T-57873-f54d60bf-8293-4de8-9c2f-d9da60d2ea45,PE-P2-12-946193,DLPA0288000103091708,2022-11-16 15:17:09,0,232.89,12.54,948.0,51.0581,0.0,0.0,PEN,4.0706,PE,d7476230-585c-11ec-8be6-f55b666011b4,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-16 15:17:09,0,0,0,PE,P2,12.0,946193
T-57873-3a2669ba-5914-4d49-8273-a9f118815745,PE-P2-12-122470,DLPA0288000104091721,2022-11-16 15:17:22,0,232.89,12.54,948.0,51.0581,0.0,0.0,PEN,4.0706,PE,d7476230-585c-11ec-8be6-f55b666011b4,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-16 15:17:22,0,0,0,PE,P2,12.0,122470
T-57873-7dbfdef3-f474-4f5a-9c7c-9813dd77780b,PE-P2-12-765353,DLPA0288000105091827,2022-11-16 15:18:27,0,232.88,12.54,948.0,51.0581,0.0,0.0,PEN,4.0707,PE,d7476230-585c-11ec-8be6-f55b666011b4,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-16 15:18:27,0,0,0,PE,P2,12.0,765353
T-57873-b2ac915f-87d1-42e2-9091-6ae5370ea795,PE-P2-12-785361,DLPA0288000206161448,2022-11-21 22:14:48,0,232.64,12.53,948.0,51.059,0.0,0.0,PEN,4.0749,PE,86617ba0-ab9c-11eb-aafe-73c05c7993d1,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-21 22:14:48,0,0,0,PE,P2,12.0,785361
T-57873-04097843-0b88-4ea6-afb0-295ac08111ba,PE-P2-12-991773,DLPA0288000252111431,2022-11-25 17:14:33,0,231.26,12.46,948.0,51.0638,0.0,0.0,PEN,4.0992,PE,86617ba0-ab9c-11eb-aafe-73c05c7993d1,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-25 17:14:33,0,0,0,PE,P2,12.0,991773
T-57873-bd31fb89-08be-47e2-b018-2e60a1f86562,PE-P2-12-737884,DLPA0288000254112759,2022-11-25 17:28:01,2022-11-25 17:28:00,231.26,12.46,948.0,51.0638,0.0,0.0,PEN,4.0992,PE,86617ba0-ab9c-11eb-aafe-73c05c7993d1,2-12,VI,Visa,CREDIT_CARD,PAID,2022-11-25 17:28:01,0,0,0,PE,P2,12.0,737884
REF-57873-5045e16c-1be1-4242-8e18-4057c30a0ec4,PE-P2-12-737884,0,2022-11-25 17:35:52,2022-11-25 17:45:01,231.26,1.0,948.0,0.0,0.0,0.0,PEN,0.0,PE,0,2-12,VI,Visa,CREDIT_CARD,REFUNDED,2022-11-25 17:35:52,0,0,0,PE,P2,12.0,737884
T-57873-213897f2-a69d-4af0-be24-d601678900ee,PE-P2-12-818156,DLPA0288000520134930,2023-01-10 19:49:31,0,235.53,12.68,948.0,51.049,0.0,0.0,PEN,4.0249,PE,5816bd90-2af9-11eb-83a6-91c28df3eedf,2-12,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-10 19:49:31,0,0,0,PE,P2,12.0,818156
T-57873-47fc1e14-8d6a-42e5-99f2-3e42220a503a,PE-P2-12-611974,DLPA0288000521135039,2023-01-10 19:50:41,2023-01-10 19:50:40,235.53,12.68,948.0,51.049,0.0,0.0,PEN,4.0249,PE,5816bd90-2af9-11eb-83a6-91c28df3eedf,2-12,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-10 19:50:41,0,0,0,PE,P2,12.0,611974
