Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status
T-57873-43a5b0ae-55c0-4f38-b5f6-59d7003c2e5a,PE-P1-1-653955,DLPA0288000004184813,2022-11-15 00:48:16,2022-11-15 00:48:16,10.15,0.74,41.43,3.012,0.0,0.0,PEN,4.0812,PE,4370ff50-6274-11eb-8b6f-f982d369514b,1-1-,MC,Mastercard,CREDIT_CARD,PAID
T-57873-92026b78-814e-453f-972d-a20672ab5ff1,PE-P1-1-965257,0,2022-11-15 01:23:56,0,10.15,0.74,41.43,3.012,0.0,0.0,PEN,4.0812,PE,ba9c31f0-64ea-11eb-be1e-531b2e90c600,1-1-,MC,Mastercard,CREDIT_CARD,REJECTED
D-57873-c263d0d4-17f9-4501-ad69-8ed94aa4521a,BR-P1-1-931470,QRS1TXZS9YQTDKX5NS4WIHJQT6CZCVPOHNH,2022-11-15 01:34:29,2022-11-15 01:36:58,8.82,0.34,50.0,1.95,0.0,0.0,BRL,5.6455,BR,109e95e0-9d66-11eb-9de4-5b801bf08e66,1-1-,PQ,PIX QR,CASH,PAID
T-57873-961c6cea-5e16-41b1-b2a8-10881b76a399,PE-P1-1-488267,DLPA0288000005194403,2022-11-15 01:44:06,2022-11-15 01:44:06,10.15,0.74,41.43,3.012,0.0,0.0,PEN,4.0812,PE,ba9c31f0-64ea-11eb-be1e-531b2e90c600,1-1-,MC,Mastercard,CREDIT_CARD,PAID
D-57873-977cb32c-c2aa-4e60-b451-0d1c5ffa0dd6,BR-P1-1-352910,QRS1TXCHFOURGXH6RDFBXDVTLE5QIHSW9TJ,2022-11-15 16:40:03,2022-11-15 16:41:04,8.82,0.34,50.0,1.95,0.0,0.0,BRL,5.6455,BR,7132977b-2676-4ae9-87f0-8e282f7d5d11,1-1-,PQ,PIX QR,CASH,PAID
T-57873-582b06ef-b2ed-437a-b0e6-44ccd3744245,PE-P2-1-618157,0,2022-11-15 16:45:09,0,27.83,1.68,112.86,6.7925,0.0,0.0,PEN,4.0548,PE,3b9aa9e0-fa99-11eb-83f3-2b5d79ebff67,2-1-,MC,Mastercard,CREDIT_CARD,REJECTED
T-57873-5eb521eb-2998-4b7e-a37b-2470732f373a,PE-P2-1-357459,DLPA0288000007104521,2022-11-15 16:45:24,0,27.83,1.68,112.86,6.7925,0.0,0.0,PEN,4.0548,PE,3b9aa9e0-fa99-11eb-83f3-2b5d79ebff67,2-1-,MC,Mastercard,CREDIT_CARD,REJECTED
D-57873-a7ccbcb1-9fc1-4298-bce1-99fa163cb3d3,BR-P1-1-514211,QRS1TXGF9TFGQKSGUVBEXTP0UNMKI2UAQJ2,2022-11-15 16:46:31,0,8.82,0.34,50.0,1.95,0.0,0.0,BRL,5.6455,BR,7132977b-2676-4ae9-87f0-8e282f7d5d11,1-1-,PQ,PIX QR,CASH,REJECTED
T-57873-f08fa0d1-4af5-490f-bf42-2a25f2c2de04,PA-P1-1-413000,0,2022-11-15 16:46:33,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,33879607-ec09-4b1f-b413-a44cab37287b,1-1-,VI,Visa,CREDIT_CARD,REJECTED
T-57873-635bebf8-5247-4fda-8898-ce2470fa52d1,PA-P1-1-109533,0,2022-11-15 16:47:08,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,33879607-ec09-4b1f-b413-a44cab37287b,1-1-,VI,Visa,CREDIT_CARD,REJECTED
T-57873-92fefa7b-f5e6-4dab-877a-214147c9ed57,PA-P1-1-726712,0,2022-11-15 16:47:53,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,33879607-ec09-4b1f-b413-a44cab37287b,1-1-,VD,Visa Debit,DEBIT_CARD,REJECTED
T-57873-e8b412ba-6581-4449-a4bb-f9bc8f9a9f41,PA-P1-1-667752,0,2022-11-15 16:48:34,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,33879607-ec09-4b1f-b413-a44cab37287b,1-1-,VD,Visa Debit,DEBIT_CARD,REJECTED
T-57873-3d1a802e-268b-4741-8801-ba015dcc0f05,MX-P2-1-483935,850043292687,2022-11-15 16:58:20,2022-11-15 16:58:19,27.74,0.89,570.0,18.24,0.0,0.0,MXN,20.546,MX,07762000-09c2-11ec-ba87-9b1c954c9689,2-1-,MD,MasterCard Debit,DEBIT_CARD,PAID
T-57873-7437d4e7-fa3a-4375-829f-9f954a42bf36,PE-P2-1-953122,DLPA0288000008110223,2022-11-15 17:02:27,0,27.82,1.67,112.86,6.7929,0.0,0.0,PEN,4.0568,PE,3b9aa9e0-fa99-11eb-83f3-2b5d79ebff67,2-1-,MC,Mastercard,CREDIT_CARD,REJECTED
T-57873-6da0639e-d55d-4cfb-9579-44206e886854,PA-P2-12-832206,0,2022-11-15 17:02:32,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,b190d539-f266-4496-9204-189503a84457,2-12,VI,Visa,CREDIT_CARD,REJECTED
T-57873-5c57cc73-4d61-4b42-bf5c-1bdb4f99bde6,CL-P1-1-338719,1944326607,2022-11-15 17:04:54,2022-11-15 17:04:54,9.89,0.41,9271.0,380.111,0.0,0.0,CLP,937.7809,CL,dc18e8a0-5a93-4836-ade2-b7833cbd90eb,1-1-,MH,Mach,CREDIT_CARD,PAID
D-57873-b92cba89-6884-45b6-8870-89f178e45d69,BR-P1-3-105103,QRS1TXCVOLK8TDODDOO0VQ4GZVGDVC3UFNN,2022-11-15 17:07:23,2022-11-15 17:07:53,23.82,0.93,135.0,5.265,0.0,0.0,BRL,5.6455,BR,3bed34ff-d68b-4e3f-aca7-d1f422ca9c11,1-3-,PQ,PIX QR,CASH,PAID
T-57873-ac3fb8cc-d5c4-4d78-bbb7-830a8baabc2b,BR-P1-1-345773,2032322719,2022-11-15 17:15:23,2022-11-15 17:15:22,8.82,0.28,50.0,1.6,0.0,0.0,BRL,5.6455,BR,dba9b5c0-bb39-11eb-ad0f-f95fa2beb74f,1-1-,MC,Mastercard,CREDIT_CARD,PAID
T-57873-7e21c90e-4f96-4afe-97bf-2f8e359cafe3,CL-P2-1-229996,1944359355,2022-11-15 17:15:36,2022-11-15 17:15:36,30.42,1.25,28570.0,1171.37,0.0,0.0,CLP,939.0678,CL,b22fe9a8-813d-4d0b-b34a-067705272623,2-1-,MD,MasterCard Debit,DEBIT_CARD,PAID
T-57873-096b28f5-8d42-4caf-9fd7-d8258ea59751,BR-P1-12-655411,2032323990,2022-11-15 17:16:01,2022-11-15 17:16:00,74.11,2.37,420.0,13.44,0.0,0.0,BRL,5.6455,BR,302590c1-30f6-4088-8415-ad668aec0ee6,1-12,MC,Mastercard,CREDIT_CARD,PAID
